ipo_firm,year,forward_cnt4,forward_cnt5,forward_cnt7
02 Micro International Limited,2001,3,4,8
02 Micro International Limited,2002,29,53,99
02 Micro International Limited,2003,12,22,34
02 Micro International Limited,2004,41,50,67
02 Micro International Limited,2008,25,29,35
1-800 CONTACTS INC,2010,5,8,11
1-800 CONTACTS INC,2011,0,0,4
21st Century Holding Company,1993,2,2,3
21Vianet Group Inc,2014,5,6,6
24/7 Media Inc,2000,21,32,73
3-Dimensional Pharmaceuticals,1995,28,44,84
3-Dimensional Pharmaceuticals,1996,10,20,37
3-Dimensional Pharmaceuticals,1997,23,31,48
3-Dimensional Pharmaceuticals,1998,8,16,31
3-Dimensional Pharmaceuticals,1999,25,32,42
3-Dimensional Pharmaceuticals,2000,56,71,98
3-Dimensional Pharmaceuticals,2001,55,83,130
3-Dimensional Pharmaceuticals,2002,44,58,82
3-Dimensional Pharmaceuticals,2003,23,35,64
3-Dimensional Pharmaceuticals,2004,5,6,6
3-Dimensional Pharmaceuticals,2005,1,4,6
3-Dimensional Pharmaceuticals,2006,4,6,9
3-Dimensional Pharmaceuticals,2007,1,1,2
3-Dimensional Pharmaceuticals,2008,1,4,13
3COM CORP.,1984,4,6,14
3COM CORP.,1988,5,6,9
3COM CORP.,1989,3,4,7
3COM CORP.,1991,9,13,24
3COM CORP.,1993,6,9,13
3COM CORP.,1994,60,84,121
3COM CORP.,1995,193,261,373
3COM CORP.,1996,288,438,604
3COM CORP.,1997,227,294,385
3COM CORP.,1998,491,605,830
3COM CORP.,1999,976,1267,2123
3COM CORP.,2000,1595,2034,3179
3COM CORP.,2001,1749,2499,3593
3COM CORP.,2002,1468,1885,2943
3COM CORP.,2003,1478,2067,3487
3COM CORP.,2004,1198,1681,2970
3COM CORP.,2005,462,724,1222
3COM CORP.,2006,674,998,1669
3COM CORP.,2007,188,254,391
3COM CORP.,2008,216,303,494
3COM CORP.,2009,167,230,338
3COM CORP.,2010,58,87,203
3Dfx Interactive Inc,1998,19,28,62
3Dfx Interactive Inc,1999,10,20,28
3Dfx Interactive Inc,2000,9,11,24
3Dfx Interactive Inc,2001,1,2,3
3Dlabs Inc.,1995,10,10,14
3Dlabs Inc.,1996,6,7,10
3Dlabs Inc.,1997,33,64,115
3Dlabs Inc.,1998,119,211,339
3Dlabs Inc.,1999,7,10,15
3Dlabs Inc.,2000,79,94,161
3Dlabs Inc.,2001,42,50,59
3Dlabs Inc.,2002,37,41,54
3Dlabs Inc.,2003,24,36,69
3Dlabs Inc.,2004,19,32,83
3Dlabs Inc.,2005,12,28,70
3Dlabs Inc.,2006,10,13,16
3Dlabs Inc.,2007,15,17,39
3Dlabs Inc.,2008,9,11,17
3Dlabs Inc.,2009,29,67,131
