ipo_firm,assignee_firm,ticker,is_common,patent_cnt
02 Micro International Limited,02 Micro International Limited,OIIM,1,11
1-800 CONTACTS INC,"1-800 Contacts, Inc.",CTAC,1,3
21st Century Holding Company,"21st Century Holdings, Inc.",TCHC,1,1
21Vianet Group Inc,"21ViaNet Group, Inc.",VNET,0,1
24/7 Media Inc,"24/7 Media, Inc.",TFSM,1,2
3-Dimensional Pharmaceuticals,"3-Dimensional Pharmaceuticals, Inc.",DDDP,1,79
3COM CORP.,3Com Corporation,COMS,0,1472
3COM CORP.,3Com Ireland,COMS,0,3
3COM CORP.,3Com Limited,COMS,0,2
3COM CORP.,3COM Technologies,COMS,0,37
3Dfx Interactive Inc,"3Dfx Interactive, Incorporated",TDFX,0,8
3Dlabs Inc.,3DLabs Inc. Ltd.,TDDD,0,87
724 Solutions Inc,"724 Solutions Software, Inc.",SVNX,1,5
724 Solutions Inc,"724 Solutions, Inc.",SVNX,1,2
8x8 Inc,"8x8, Inc.",EGHT,0,137
A10 Networks Inc,"A10 Networks, Inc.",ATEN,1,162
A123 Systems Inc,A123 Systems LLC,AONE,1,113
Aastrom Biosciences Inc,"Aastrom Biosciences, Inc.",ASTM,0,13
Aavid Thermal Technologies,"Aavid Thermal Products, Inc.",AATT,0,3
Aavid Thermal Technologies,"Aavid Thermal Technologies, Inc.",AATT,0,3
Aavid Thermal Technologies,"Aavid Thermalloy, LLC",AATT,0,16
Aavid Thermal Technologies,"Aavid Thermally, LLC",AATT,0,1
Abaxis,"Abaxis, Inc.",ABAX,0,57
ABC Rail Products,ABC Rail Products Corporation,ABCR,1,25
Abercrombie & Fitch,Abercrombie & Fitch Trading Co.,ANF,0,6
Abgenix Inc,"Abgenix, Inc.",ABGX,0,38
ABIOMED,"Abiomed Cardiovascular, Inc.",ABD,0,6
ABIOMED,ABIOMED EUROPE GMBH,ABD,0,16
ABIOMED,"Abiomed, Inc.",ABD,0,91
Acacia Communications Inc,"Acacia Communications, Inc.",ACIA,1,79
Acadia Pharmaceuticals,ACADIA PHARMACEUTICALS INC.,ACAD,0,72
Accelerated Networks Inc,Accelerated Networks,ACCL,1,3
Acceleron Pharma Inc,ACCELERON PHARMA INC.,XLRN,0,99
AccelGraphics Inc,"AccelGraphics, Inc.",ACCL,0,1
Accent Color Sciences,"Accent Color Sciences, Inc.",ACLR,1,5
Accentia Biopharmaceuticals,"Accentia Biopharmaceuticals, Inc.",ABPI,0,4
Accenture LTD,Accenture Corporation,ACN,0,1
Accenture LTD,Accenture Global Services Limited,ACN,0,1744
Accenture LTD,Accenture Global Services Limited Dublin,ACN,0,1
Accenture LTD,Accenture LLP,ACN,0,212
Accenture LTD,Accenture Properties (2) B.V.,ACN,0,3
Accenture LTD,Accenture Pte. Ltd.,ACN,0,1
Accenture LTD,Accenture SDN. BHD.,ACN,0,1
Accenture LTD,Accenture Services Limited,ACN,0,1
ACCO WORLD CORPORATION,ACCO World Corporation,AWCO,0,13
Accom,"Accom, Inc.",ACMM,0,9
Accredo Health Inc,"Accredo Health Group, Inc.",ACDO,0,3
Accretive Health Inc,"Accretive Health, Inc.",AH,0,3
Accuray Inc,Accuray Incorporated,ARAY,0,174
Accuride Corp,Accuride Corporation,ACW,0,23
Accuride Corp,"Accuride EMI, LLC",ACW,0,1
Accuride Corp,Accuride Internatioanl Inc.,ACW,0,1
Accuride Corp,"Accuride International, Inc.",ACW,0,88
ACE Ltd,ACE Accessories Limited,ACE,1,1
ACE Ltd,Ace Antenna Corp.,ACE,1,12
ACE Ltd,Ace Applied Cognitive Engineering Ltd,ACE,1,1
ACE Ltd,"Ace Archers, Inc.",ACE,1,1
ACE Ltd,Ace Baking Company Limited Partnership,ACE,1,1
ACE Ltd,Ace Bayou Corporation,ACE,1,2
ACE Ltd,"Ace Bed Co., Ltd.",ACE,1,6
ACE Ltd,"Ace Cad Enterprise Co., Ltd.",ACE,1,6
ACE Ltd,ACE Communications Limited,ACE,1,5
ACE Ltd,ACE Communications Limited (HK),ACE,1,1
ACE Ltd,"Ace Controls, Inc.",ACE,1,14
ACE Ltd,Ace Conveyor Equipment Limited,ACE,1,2
ACE Ltd,"Ace Custom Steering, LLC",ACE,1,1
ACE Ltd,Ace Demolition Incorporated,ACE,1,1
ACE Ltd,"ACE DENKEN Co., Ltd.",ACE,1,3
ACE Ltd,Ace Development Solution,ACE,1,1
ACE Ltd,Ace Dragon Corp.,ACE,1,2
ACE Ltd,Ace Electro Tech Corp.,ACE,1,1
ACE Ltd,"Ace Electronics Co., Ltd.",ACE,1,3
ACE Ltd,ACE ENC Inc.,ACE,1,1
ACE Ltd,"Ace Engineering & Co., Ltd.",ACE,1,1
ACE Ltd,Ace Envelope Manufacturing Corporation,ACE,1,2
ACE Ltd,"Ace Fishing & Rental Tools, Inc.",ACE,1,2
ACE Ltd,"Ace Food Services, Inc.",ACE,1,1
ACE Ltd,Ace Frontier Media Limited,ACE,1,1
ACE Ltd,Ace Furnaces Limited,ACE,1,1
ACE Ltd,"ACE GIFT & CRAFT NINGBO CO., LTD.",ACE,1,2
ACE Ltd,"ACE GIFT & CRAFT(NINGBO)CO., LTD",ACE,1,1
ACE Ltd,"Ace Giken Co., Ltd.",ACE,1,4
ACE Ltd,Ace Glass Incorporated,ACE,1,2
ACE Ltd,Ace Hardware Corporation,ACE,1,2
ACE Ltd,"Ace Ideas, LLC",ACE,1,2
ACE Ltd,"Ace Ina Holdings, Inc.",ACE,1,1
ACE Ltd,Ace Inc.,ACE,1,10
ACE Ltd,"ACE Industries, Incorporated",ACE,1,2
ACE Ltd,Ace Irrigation & Manufacturing Co.,ACE,1,1
ACE Ltd,"Ace K Computer Co., Ltd.",ACE,1,2
ACE Ltd,"ACE Korea Incorporation Co., Ltd.",ACE,1,1
ACE Ltd,"Ace Lab., Inc.",ACE,1,1
ACE Ltd,"Ace Laser Tek, Inc.",ACE,1,1
ACE Ltd,"ACE LIGHT & ELECTRONIC TECH(NINGBO) CO., LTD.",ACE,1,21
