ipo_firm,year,originality,generality
02 Micro International Limited,2001,0.6111111111111112,0.21875
02 Micro International Limited,2002,0.4616745717929749,0.4309654147901081
02 Micro International Limited,2003,0.40311909262759926,0.509680795395081
02 Micro International Limited,2004,0.45252077562326876,0.43528625529071074
02 Micro International Limited,2008,0.4955280345140484,0.38433333333333336
1-800 CONTACTS INC,2010,0.5408163265306121,0.7777777777777778
1-800 CONTACTS INC,2011,0.5041551246537397,0.0
21st Century Holding Company,1993,0.0,0.4444444444444444
21Vianet Group Inc,2014,0.0,0.0
24/7 Media Inc,2000,0.6909722222222223,0.5439814814814814
24/7 Media Inc,2013,0.5619834710743802,0
3-Dimensional Pharmaceuticals,1995,0.5599999999999999,0.8299319727891157
3-Dimensional Pharmaceuticals,1996,0.27999999999999997,0.5841942148760331
3-Dimensional Pharmaceuticals,1997,0.23129251700680273,0.6733299608423616
3-Dimensional Pharmaceuticals,1998,0.0,0.07638888888888895
3-Dimensional Pharmaceuticals,1999,0.6172839506172839,0.35355029585798814
3-Dimensional Pharmaceuticals,2000,0.4029893867556205,0.29033564814814816
3-Dimensional Pharmaceuticals,2001,0.47721879143428864,0.25207991436219457
3-Dimensional Pharmaceuticals,2002,0.4111940682737343,0.20766538490970313
3-Dimensional Pharmaceuticals,2003,0.2918426005754996,0.12567572503469943
3-Dimensional Pharmaceuticals,2004,0.2886838589027917,0.22222222222222224
3-Dimensional Pharmaceuticals,2005,0.10204081632653061,0.0
3-Dimensional Pharmaceuticals,2006,0.36107249601272473,0.08163265306122451
3-Dimensional Pharmaceuticals,2007,0.0,0.0
3-Dimensional Pharmaceuticals,2008,0.42105263157894746,0.3550295857988165
3-Dimensional Pharmaceuticals,2009,0.48,0
3COM CORP.,1984,0.375,0.2551020408163267
3COM CORP.,1988,0.0,0.4444444444444444
3COM CORP.,1989,0.25,0.6399999999999999
3COM CORP.,1991,0.17999999999999994,0.2777777777777777
3COM CORP.,1993,0.49,0.4724999999999999
3COM CORP.,1994,0.3497593852355757,0.5303586952525695
3COM CORP.,1995,0.32945440512778135,0.24599530229106853
3COM CORP.,1996,0.3017282901441433,0.3093871917618118
3COM CORP.,1997,0.3371345760077539,0.3243574390324394
3COM CORP.,1998,0.3435634630169071,0.25348406211022495
3COM CORP.,1999,0.2371620523956912,0.23780805221262166
3COM CORP.,2000,0.30278774077458903,0.27472577441522955
3COM CORP.,2001,0.28153852766660575,0.26393658241643236
3COM CORP.,2002,0.2982829381703144,0.2706612960571574
3COM CORP.,2003,0.2549846353979234,0.2278490065016482
3COM CORP.,2004,0.22443065652701247,0.20960922710535
3COM CORP.,2005,0.20134703371609253,0.14814950390589687
3COM CORP.,2006,0.16609996567672464,0.12477134608262264
3COM CORP.,2007,0.14484605844723628,0.12268090685960532
3COM CORP.,2008,0.169173883914732,0.14640203971205112
3COM CORP.,2009,0.17354112469340446,0.24562055558427834
3COM CORP.,2010,0.18501843572673302,0.21377221496704094
3Dfx Interactive Inc,1998,0.3161245674740485,0.41679137103167185
3Dfx Interactive Inc,1999,0.2650000000000001,0.19897959183673453
3Dfx Interactive Inc,2000,0.20498614958448758,0.15311909262759926
3Dfx Interactive Inc,2001,0.24489795918367352,0.4444444444444444
3Dlabs Inc.,1995,0.21875,0.2551020408163267
3Dlabs Inc.,1996,0.27314814814814814,0.3333333333333333
3Dlabs Inc.,1997,0.3873611111111111,0.17650106194098014
3Dlabs Inc.,1998,0.30994444444444447,0.2937763549475639
3Dlabs Inc.,1999,0.0,0.0
3Dlabs Inc.,2000,0.5164814814814814,0.2629073135656823
3Dlabs Inc.,2001,0.4274523369461913,0.23831569664902993
3Dlabs Inc.,2002,0.29193706783124773,0.3428153992256556
3Dlabs Inc.,2003,0.24181231217124144,0.21660745779793397
3Dlabs Inc.,2004,0.26822289520703835,0.25701729057636125
3Dlabs Inc.,2005,0.22250566893424037,0.055681323494591206
3Dlabs Inc.,2006,0.17721561418685125,0.1666666666666666
3Dlabs Inc.,2007,0.14814814814814814,0.29142011834319537
3Dlabs Inc.,2008,0.1496598639455782,0.23638888888888887
3Dlabs Inc.,2009,0.2747240220642915,0.37947840241283837
3Dlabs Inc.,2010,0.3086734693877553,0.0
3Dlabs Inc.,2013,0.0,0
3Dlabs Inc.,2014,0.25418108419838525,0.15999999999999992
724 Solutions Inc,2001,0.0,0.13888888888888884
724 Solutions Inc,2004,0.0,0.375
724 Solutions Inc,2008,0.0,0.19753086419753085
724 Solutions Inc,2010,0.31999999999999984,0.2777777777777777
724 Solutions Inc,2011,0.3106508875739644,0.0
724 Solutions Inc,2012,0.25086505190311414,0.6479289940828402
8x8 Inc,1999,0.4444444444444444,0.38781163434903054
8x8 Inc,2000,0.1111111111111111,0.02768166089965396
8x8 Inc,2001,0.650887573964497,0.0
8x8 Inc,2002,0.375,0.4444444444444444
8x8 Inc,2005,0.0,0.0
8x8 Inc,2006,0.38674399564488676,0.1043388429752066
8x8 Inc,2007,0.2009375,0.2222222222222222
8x8 Inc,2008,0.0,0.625
8x8 Inc,2011,0.12984774490089057,0.0
8x8 Inc,2012,0.31494857667584936,0.044999999999999984
8x8 Inc,2013,0.2868247510975427,0.16941550925925922
