ipo_firm,assignee_firm,assignee_id,ticker,is_common,patent_cnt,assignee_id
02 Micro International Limited,02 Micro International Limited,org_XYKmz5M40crmGZP2sXhP,OIIM,1,11,org_XYKmz5M40crmGZP2sXhP
1-800 CONTACTS INC,"1-800 Contacts, Inc.",org_PBeYAUC7CXnKWODGf5fY,CTAC,1,3,org_PBeYAUC7CXnKWODGf5fY
21st Century Holding Company,"21st Century Holdings, Inc.",org_wi9FdlXHUWhoDsdvH0i2,TCHC,1,1,org_wi9FdlXHUWhoDsdvH0i2
21Vianet Group Inc,"21ViaNet Group, Inc.",org_HolGm25GLvm5O5eus8uH,VNET,0,1,org_HolGm25GLvm5O5eus8uH
24/7 Media Inc,"24/7 Media, Inc.",org_OtGBpdmo6mFQzvtnQkRv,TFSM,1,2,org_OtGBpdmo6mFQzvtnQkRv
3-Dimensional Pharmaceuticals,"3-Dimensional Pharmaceuticals, Inc.",org_MEU0xiW17rW5igy1zLWg,DDDP,1,79,org_MEU0xiW17rW5igy1zLWg
3COM CORP.,3Com Corporation,org_ChEEodkY01cn3Np3QcCU,COMS,0,1472,org_ChEEodkY01cn3Np3QcCU
3COM CORP.,3Com Ireland,org_i0x4NLrK4HmunWTUe3yl,COMS,0,3,org_i0x4NLrK4HmunWTUe3yl
3COM CORP.,3Com Limited,org_PXKSCbeT7orwCEeTaOiv,COMS,0,2,org_PXKSCbeT7orwCEeTaOiv
3COM CORP.,3COM Technologies,org_zjas5RaYNJLXuMWopSrj,COMS,0,37,org_zjas5RaYNJLXuMWopSrj
3Dfx Interactive Inc,"3Dfx Interactive, Incorporated",org_jTkRiy3K4bMYvZeKBdAz,TDFX,0,8,org_jTkRiy3K4bMYvZeKBdAz
3Dlabs Inc.,3DLabs Inc. Ltd.,org_OdsLtofIFRjKzF0t2yPf,TDDD,0,87,org_OdsLtofIFRjKzF0t2yPf
724 Solutions Inc,"724 Solutions Software, Inc.",org_60jBQTNC9q9KI7q0v6B6,SVNX,1,5,org_60jBQTNC9q9KI7q0v6B6
724 Solutions Inc,"724 Solutions, Inc.",org_Mpy4adMmbKhLqp8XPYZe,SVNX,1,2,org_Mpy4adMmbKhLqp8XPYZe
8x8 Inc,"8x8, Inc.",org_sPhY8y25OW1ZDQCd3hsH,EGHT,0,137,org_sPhY8y25OW1ZDQCd3hsH
A10 Networks Inc,"A10 Networks, Inc.",org_X3jWJO7pgypcZB9jheh1,ATEN,1,162,org_X3jWJO7pgypcZB9jheh1
A123 Systems Inc,A123 Systems LLC,org_naEukn0Emn6XKKAlRHrD,AONE,1,113,org_naEukn0Emn6XKKAlRHrD
Aastrom Biosciences Inc,"Aastrom Biosciences, Inc.",org_ETaU67Hafu7gCvnwRhNv,ASTM,0,13,org_ETaU67Hafu7gCvnwRhNv
Aavid Thermal Technologies,"Aavid Thermal Products, Inc.",org_GYpmItF9YCfkDU3sffqN,AATT,0,3,org_GYpmItF9YCfkDU3sffqN
Aavid Thermal Technologies,"Aavid Thermal Technologies, Inc.",org_rcD7FVRCmixNuKA88VYQ,AATT,0,3,org_rcD7FVRCmixNuKA88VYQ
Aavid Thermal Technologies,"Aavid Thermalloy, LLC",org_Jt7B9jKrGS5f2KiSAJAd,AATT,0,16,org_Jt7B9jKrGS5f2KiSAJAd
Aavid Thermal Technologies,"Aavid Thermally, LLC",org_cCQ8EA6cbhg9rt8jqOjG,AATT,0,1,org_cCQ8EA6cbhg9rt8jqOjG
Abaxis,"Abaxis, Inc.",org_K1971kPGo52PomU5nrkZ,ABAX,0,57,org_K1971kPGo52PomU5nrkZ
ABC Rail Products,ABC Rail Products Corporation,org_z3sf8v3tgDvRwCrKnVS4,ABCR,1,25,org_z3sf8v3tgDvRwCrKnVS4
