firm,ipo_date,ticker,CUSIP,CRSP perm,post-issue shares,dual dum,Founding,Rollup dum
02 Micro International Limited,20000823,OIIM,G6797E106,88549,31900000,0,1995,0
1-800 CONTACTS INC,19980209,CTAC,681977104,85814,6584469,0,1995,0
21st Century Holding Company,19981105,TCHC,90136Q100,86435,3350000,0,1991,0
21Vianet Group Inc,20110421,VNET,90138A103,12699,322515330,1,1999,0
24/7 Media Inc,19980813,TFSM,901314104,86338,15483000,0,1998,0
3-Dimensional Pharmaceuticals,20000803,DDDP,88554W104,88514,19200000,0,1993,0
3COM CORP.,19840321,COMS,88553510,76129,13504000,0,1979,0
3Dfx Interactive Inc,19970625,TDFX,88553X103,85046,12086176,0,1994,0
3Dlabs Inc.,19961119,TDDD,G8846W103,84266,14285714,0,1994,0
724 Solutions Inc,20000127,SVNX,81788Q100,87569,35402426,0,1997,0
8x8 Inc,19970702,EGHT,282912104,85177,10590286,0,1987,0
A10 Networks Inc,20140321,ATEN,2121101,14495,59029124,0,2004,0
A123 Systems Inc,20090923,AONE,03739T108,93037,98180520,0,2001,0
Aastrom Biosciences Inc,19970204,ASTM,00253U107,84511,13001565,0,1989,0
Aavid Thermal Technologies,19960129,AATT,2539104,82807,6095945,0,1964,0
Abaxis,19920122,ABAX,2567105,77279,5787833,0,1989,0
ABC Rail Products,19931214,ABCR,752105,79932,7140000,0,1902,0
Abercrombie & Fitch,19960925,ANF,2896207,83976,50000000,1,1946,0
Abgenix Inc,19980702,ABGX,00339B107,86235,10637512,0,1996,0
ABIOMED,19870729,ABD,3654100,75107,4650750,0,1981,0
Acacia Communications Inc,20160513,ACIA,00401C108,16051,35656350,0,2009,0
Acadia Pharmaceuticals,20040526,ACAD,4225108,90177,16845668,0,1993,0
Accelerated Networks Inc,20000622,ACCL,00429P107,88321,49737000,0,1996,0
Acceleron Pharma Inc,20130918,XLRN,00434H108,14176,27381188,0,2003,0
AccelGraphics Inc,19970411,ACCL,00430P104,84718,7906307,0,1994,0
Accent Color Sciences,19961218,ACLR,4305108,84288,9689922,0,1993,0
Accentia Biopharmaceuticals,20051027,ABPI,00430L103,90945,28869196,0,2002,0
Accenture LTD,20010719,ACN,G1150G11,89071,990444700,1,1953,0
ACCO WORLD CORPORATION,19830211,AWCO,433010,64688,7371000,0,1903,0
Accom,19950926,ACMM,4334108,82247,6385997,0,1987,0
Accredo Health Inc,19990415,ACDO,00437V104,86813,8627087,0,1985,0
Accretive Health Inc,20100520,AH,00438V10,93369,90015707,0,2003,0
Accuray Inc,20070207,ARAY,4397105,91814,52212444,0,1993,0
Accuride Corp,20050425,ACW,4398103,90643,32622690,0,1986,0
ACE Ltd,19930324,ACE,G0070K10,79057,49614788,0,1985,0
AcelRx Pharmaceuticals Inc,20110211,ACRX,00444T100,12573,19371750,0,2005,0
Achaogen Inc,20140312,AKAO,4449104,14530,17680647,0,2002,0
Achillion Pharmaceuticals Inc,20061025,ACHN,00448Q201,91491,14848637,0,1998,0
Aclara Biosciences Inc,20000321,ACLA,00461P106,87748,31172995,0,1995,0
Aclaris Therapeutics Inc,20151007,ACRS,00461U105,15775,19407503,0,2012,0
Acme Packet Inc,20061012,APKT,4764106,91493,56707490,0,2000,0
Acorda Therapeutics Inc,20060209,ACOR,00484M106,91086,19622636,0,1995,0
Acorn Products Inc,19970624,ACRN,4857108,84998,4748056,0,1890,0
Acres Gaming,19931027,AGAM,4936100,79675,6850000,0,1985,0
ACSYS Inc,19980206,ACSY,00087X103,85800,10701208,0,1997,1
Actel,19930802,ACTL,4934105,79467,16396829,0,1985,0
Action Performance Companies,19930427,ACTN,4933107,79069,18521153,0,1992,0
Actions Semiconductor,20051129,ACTS,5.07E+12,90962,-9,0,2001,0
Active Power Inc,20000807,ACPW,00504W100,88497,37700000,0,1992,0
Active Voice,19931214,ACVC,4938106,79933,4249708,0,1983,0
"ACTIVISION, INC.",19830609,AVSN,504810,10701,32697000,0,1971,0
"ACTMEDIA, INC.",19831122,ACTM,504910,10720,4055000,0,1971,0
Actuate Software Corp,19980717,ACTU,00508B102,86236,13443000,0,1994,0
ACTV Inc.,19900504,IATV,8.80E+204,76290,3850018,0,1983,0
Acuson,19860916,ACSN,5113105,75469,21604959,0,1979,0
Acusphere Inc,20031007,ACUS,00511R870,89859,14248138,0,1993,0
Adamas Pharmaceuticals Inc,20140410,ADMS,00548A106,14589,16422992,0,2000,0
Adams Golf Inc,19980709,ADGO,6228100,86237,22199282,0,1987,0
Adaptec,19860611,ADPT,00651F108,10353,6772494,0,1981,0
Adaptive Solutions Inc,19931103,ADSO,00650P107,79787,3748920,0,1993,0
ADCO Technologies,19950214,ADCO,885103,81238,5000000,0,1993,0
Addington Resources,19870624,ADDR,6516108,11452,5600000,0,1981,0
ADDITIVE TECHNOLOGY,19840413,ADTC,668810,10795,1812000,0,1974,0
ADE,19951018,ADEX,00089C107,82467,8037132,0,1967,0
Adept Technology,19951215,ADTK,6854103,82664,7506169,0,1983,0
ADESA,19920414,SOLD,892109,77510,9017983,0,1986,0
ADESA Inc,20040616,KAR,00686U104,90197,94850000,0,1989,0
Adesto Technologies Corp,20151027,IOTS,00687D101,15786,14678880,0,2006,0
Adeza Biomedical Corp,20041210,ADZA,6864102,90468,16452341,0,1985,0
ADMA Biologics,20131017,ADMA,899104,15056,9223943,0,2004,0
Adobe Systems,19860813,ADBE,00724F101,75510,4737384,0,1982,0
Adolor Corp,20001113,ADLR,00724X102,88784,26800000,0,1994,0
Adtec,19870224,JAIL,00738C102,11128,2000000,0,1985,0
ADTRAN,19940809,ADTN,00738A106,80791,17684690,0,1985,0
Aduro BioTech Inc,20150415,ADRO,00739L101,15282,58950504,0,2000,0
Advanced Accelerator,20151111,AAAP,00790T100,15829,38574906,0,2002,0
Advanced Analogic Technologies,20050803,AATI,00752J108,90854,40962052,0,1997,0
Advanced Deposition,19930910,ADTC,7521107,79563,3000000,0,1983,0
Advanced Drainage Systems Inc,20140724,WMS,00790R104,14759,52748211,0,1966,0
Advanced Energy Industries,19951117,AEIS,7973100,82547,21306267,0,1981,0
Advanced Fibre Communications,19960930,AFCI,00754A105,84047,24723487,0,1992,0
ADVANCED FUEL SYSTEMS,19811210,AFSI,690110,10816,3500000,0,1980,0
ADVANCED GENETIC SCI,19830922,AGSI,792010,11114,10896000,0,1979,0
Advanced Health,19961003,ADVH,00756H108,84045,6800710,0,1993,0
Advanced Interventional Sys,19911106,LAIS,7954100,77083,8855751,0,1986,0
Advanced Lighting Technologies,19951211,ADLT,00753C102,82663,10717736,0,1983,0
Advanced Logic Research,19900411,AALR,7948102,76271,8886790,0,1984,0
Advanced Magnetics,19860611,ADMG,00753P103,10363,2929000,0,1981,0
Advanced Mammography Systems,19930125,MAMO,00753Q101,78831,5290000,0,1992,0
Advanced Marketing Technology,19870318,AMTQ,7934201,11191,6650000,0,1984,0
Advanced Photonix,19910211,APHOA,7.54E+109,76879,3901390,1,1988,0
Advanced Polymer Systems,19870826,APOS,00754G102,11636,8229242,0,1983,0
Advanced Power Technology Inc,20000807,APTI,7.61E+110,88501,7850000,0,1984,0
ADVANCED SEMICONDUCTOR MAT,19810512,ASMIF,791410,11077,5750000,0,1968,0
Advanced Surgical,19930804,ASUR,00754R108,79471,7120128,0,1992,0
ADVANCED SYSTEMS,19800724,ADVS,754710,65840,2500000,0,1973,0
Advanced Technology Materials,19931123,ATMI,00754X105,79799,6233302,0,1986,0
Advanced Voice Technologies,19950207,HMWK,00754W107,81253,3571497,0,1983,0
Advancis Pharmaceutical Corp,20031016,AVNC,00764L109,89860,22689847,0,1999,0
Advantage Learning System Inc,19970925,ALSI,00757K100,85353,16451133,0,1986,0
Advent Software,19951115,ADVS,7974108,82546,6618934,0,1993,0
Aegerion Pharmaceuticals Inc,20101022,AEGR,7.67E+12,12347,16853236,0,2005,0
Aehr Test Systems Inc,19970814,AEHR,00760J108,85272,6795522,0,1977,0
AEP Industries,19860130,AEPI,1031103,10025,3006250,0,1971,0
AER Energy Resources,19930701,AERN,944108,79367,14136505,0,1993,0
Aerie Pharmaceuticals,20131025,AERI,00771V108,14238,22205717,0,2005,0
Aerodyne Products,19910718,ADYN,7765100,76871,1894965,0,1976,0
AeroGen Inc,20001110,AEGN,7779101,88785,19400000,0,1991,0
Aerohive Networks,20140328,HIVE,7786106,14498,43606580,0,2006,0
AeroVironment Inc,20070122,AVAV,8073108,91733,18872462,0,1971,0
AES,19910625,AESC,00130H105,76712,41613395,0,1981,0
Aether Systems Inc,19991020,AETH,00808Z10,87298,26066995,0,1996,0
Aetrium,19930810,ATRM,00817R103,79472,4292543,0,1982,0
AFC Cable Systems,19931216,AFCX,950105,79934,5250000,0,1990,0
AFC Enterprises Inc,20010301,AFCE,00104Q10,88940,30005000,0,1992,0
Affiliated Computer Services,19940926,ACSA,8190100,80913,12399503,1,1988,0
Affinity Biotech,19920414,AFBI,8265100,77511,5241582,0,1987,0
Affinity Technology Group,19960425,AFFI,00826M103,83348,27110290,0,1994,0
Affymax,20061215,AFFY,00826A109,91657,14865258,0,1988,0
Affymetrix,19960606,AFFX,00826T108,83616,22238695,0,1992,0
AG Associates,19950515,AGAI,1073105,81597,5499914,0,1981,0
AGCO,19920416,AGCO,1084102,77520,7949384,0,1910,0
AGENCY.COM Ltd,19991208,ACOM,8447104,87473,33747812,0,1995,0
Agere Systems Inc,20010327,AGR,00845V10,88917,1635100000,1,1989,0
Agile Software Corp,19990819,AGIL,00846X105,87153,19799000,0,1995,0
Agile Therapeutics Inc,20140523,AGRX,00847L100,14645,18592059,0,1997,0
Agilent Technologies Inc,19991117,A,00846U101,87432,452000000,0,1949,0
Agios Pharmaceuticals Inc,20130723,AGIO,00847X104,14044,31010953,0,2007,0
Agouron Pharmaceuticals,19870320,AGPH,8488108,11192,2163184,0,1984,0
Agria Corp,20071107,GRO,00850H103,92384,126400000,1,2000,0
Agridyne Technologies,19920214,AGRI,00853T104,77341,6487465,0,1973,0
Agristar,19890316,AGRS,00854C100,75736,12000000,0,1987,0
AICorp,19900625,AICP,8707101,76206,7687049,0,1975,0
Aid,19851030,AIDC,871000,85201,6465937,0,1971,0
Aimmune Therapeutics Inc,20150806,AIMT,00900T107,15630,42179537,0,2011,0
Air & Water Technologies,19890810,AWT,9058108,75793,13987000,1,1967,0
Airgain Inc,20160812,AIRG,00938A104,16247,7237615,0,1995,0
Airgas,19861219,AGA,9363102,70308,3847200,0,1982,0
AirNet Communications Corp,19991207,ANCC,00941P10,87474,22224000,0,1994,0
Aironet Wireless Communication,19990729,AIRO,00943A107,87052,13567181,0,1993,0
Airspan Networks Inc,20000719,AIRN,00950H102,88419,33790000,0,1994,0
Airvana Inc,20070719,AIRV,00950V101,92192,63369555,0,2000,0
Akamai Technologies Inc,19991029,AKAM,00971T10,87299,91441000,0,1998,0
Akebia Therapeutics Inc,20140320,AKBA,00972D105,14531,19268027,0,2007,0
Aksys,19960516,AKSY,10196103,83466,13220000,0,1991,0
Aladdin Knowledge Systems,19931012,ALDNF,M0392N101,79676,4125000,0,1985,0
Alamo Group,19930318,ALMO,11311107,78950,7391736,0,1941,0
Alantec,19940204,ALTC,11630100,80222,7531739,0,1987,0
Albany International,19870930,AAIC,12348108,11731,26021168,1,1900,0
Albany Molecular Research Inc,19990204,AMRI,12423109,86709,13400444,0,1991,0
Alcobra Ltd,20130521,ADHD,M2239P109,13918,11126884,0,2008,0
Alcon Inc,20020320,ACL,H0130110,89350,369750000,0,1971,0
Alden Press,19920818,ALDN,14292106,77864,7000000,0,1946,0
Alder BioPharmaceuticals Inc,20140508,ALDR,14339105,14646,29902822,0,2002,0
Aldeyra Therapeutics Inc,20140502,ALDX,01438T106,14647,5470164,0,2004,0
Aldila,19930608,ALDA,14384101,79247,7831579,0,1972,0
Aldus,19870616,ALDC,14432108,11422,10287192,0,1984,0
Alexion Pharmaceuticals,19960228,ALXN,15351109,83111,6990785,0,1992,0
Alexza Pharmaceuticals Inc,20060308,ALXA,15384100,91154,22646381,0,2000,0
Algos Pharmaceutical,19960925,ALGO,15869100,83922,19042437,0,1992,0
Alibaba Group Holding Ltd,20140919,BABA,01609W102,14888,2464393304,1,1999,0
Align Technology,20010126,ALGN,1625510,88860,45616000,0,1997,0
Alimera Sciences Inc,20100422,ALIM,1625910,93339,31051055,0,2003,0
Alkermes,19910716,ALKS,01642T108,76736,7424743,0,1987,0
Allegheny Ludlum,19870508,ALS,16900102,75002,22850000,0,1938,0
Alliance Data Systems Corp,20010607,ADS,1858110,89002,60662000,0,1983,0
Alliance Fiber Optic Products,20001120,AFOP,18680108,88786,34700000,0,1995,0
Alliance Semiconductor,19931130,ALSC,01877H100,79935,11673051,0,1985,0
Alliant Computer Systems,19861217,ALNT,18800102,10953,9707864,0,1982,0
Allied Healthcare Products,19920113,AHPI,19222108,77259,7825000,0,1979,0
Allos Therapeutics Inc,20000327,ALTH,19777101,87750,22837000,0,1992,0
Allot Communications Inc,20061115,ALLT,M0854Q105,91604,20889931,0,1996,0
Allscripts Inc,19990723,MDRX,19886100,87078,15815599,0,1982,0
Allstate,19930602,ALL,20002101,79323,439000000,0,1931,0
